Node1,Node2,Sign,Weight
ACAA1,Propanoyl Coenzyme A_m_,1,100
ACAA1,Propanoyl Coenzyme A_x_,1,100
ACP5,Uridine_l_,1,100
ADA,Inosine_e_,1,100
Adenosine_c_,PNP,1,100
Adenosine_e_,ADA,1,100
AGER,CSNK2A2,1,100
AHCYL1,Adenosine_c_,1,100
AKT2,GSK3A,-1,100
AKT2,MAPK8,-1,100
AKT2,SRPK2,1,100
Alpha-D-Ribose 1-Phosphate_c_,UPP1,1,100
AR,PDE9A,1,100
ATM,CDS1,1,100
ATM,DYRK2,1,100
BCAT1,L-Glutamate_c_,1,100
CCNH,CCNB1,1,100
CCNH,CDK1,1,100
CCNH,CDK7,1,100
CDC42,MAPK10,1,100
CDC42,MAPK8,1,100
CDC42,MAPK9,1,100
CDC42,PAK2,1,100
CDK1,CCNB1,1,100
CDK1,CDC7,1,100
CDK1,CSNK2A1,1,100
CDK1,KMT5A,-1,100
CDK1,NME1,1,100
CDK1,SLK,1,100
CDK2,MYC,1,100
CDK5,ATM,1,100
CDK5,MAPT,-1,100
CDK7,AR,-1,100
CDK7,CDK1,1,100
CDS1,Metab__cdpdag_hs_m_,1,100
CMPK2,Cytidine-5'-DIphosphate_m_,1,100
CPT1C,Isovaleryl Carnitine_c_,1,100
CPT1C,O-Propanoylcarnitine_c_,1,100
CRAT,O-Propanoylcarnitine_m_,1,100
CRAT,O-Propanoylcarnitine_x_,1,100
CRLS1,Cytidine 5'-Monophosphate_m_,1,100
CSNK2A1,MAPK9,1,100
CSNK2A2,CSNK2A1,1,100
CSNK2A2,NMI,1,100
CYP2C8,Hydrogen Peroxide_r_,1,100
Cytidine 5'-Monophosphate_e_,ENTPD8,1,100
Cytidine 5'-Monophosphate_m_,CMPK2,1,100
ENTPD8,Cytidine-5'-DIphosphate_e_,1,100
FGFR1,AGER,1,100
GGT5,Reduced Glutathione_c_,1,100
GLUL,L-Glutamine_c_,1,100
GSK3A,CDK9,1,100
GSK3A,MAPT,-1,100
HIF1A,NT5E,1,100
Hydrogen Peroxide_r_,PRKCE,1,100
Hydrogen Peroxide_r_,TXN,1,100
IGF1R,CSK,1,100
IGF1R,PDPK1,1,100
IL6,NEU3,1,100
Inosine_c_,PNP,1,100
INSR,AKT2,1,100
KMT5A,S-Adenosyl-L-Homocysteine_c_,1,100
L-Glutamate_c_,GGT5,1,100
L-Glutamate_c_,GLUL,1,100
MAPK12,MAPKAPK2,1,100
MAPK14,AR,1,100
MAPK14,MITF,1,100
MAPK14,USF1,1,100
MAPK8,IL6,1,100
MAPK8,MYC,1,100
MAPK9,MYC,1,100
Metab__cdpdag_hs_m_,CRLS1,1,100
Metab__gm3_hs_e_,ST8SIA4,1,100
MITF,ACP5,1,100
MITF,HIF1A,1,100
MYC,BCAT1,1,100
MYC,NME1,1,100
NEU3,Metab__gm3_hs_e_,1,100
NME1,NME1_NME2,1,100
NME1,NME2_NME1,1,100
NME1_NME2,Cytidine-5'-DIphosphate_n_,1,100
NME2_NME1,Cytidine-5'-DIphosphate_c_,1,100
NMI,CCNB1,1,100
NMI,CCNH,1,100
NOS1,L-Citrulline_c_,1,100
NT5E,Adenosine_e_,1,100
NT5E,Inosine_c_,1,100
NT5E,Uridine_e_,1,100
P4HA1,Succinate_c_,1,100
P4HA1,Succinate_m_,1,100
PDE10A,Guanosine-5'-Monophosphate_c_,1,100
PDE10A,Guanosine-5'-Monophosphate_g_,1,100
PDE9A,Guanosine-5'-Monophosphate_n_,1,100
PDPK1,AKT2,1,100
PDPK1,MAPK12,1,100
PDPK1,PRKACA,1,100
PDPK1,PRKCA,1,100
PDPK1,PRKCE,1,100
PDPK1,RPS6KA1,1,100
PLD1,Ethanolamine_c_,1,100
PNP,Adenine_c_,1,100
PNP,Alpha-D-Ribose 1-Phosphate_c_,1,100
PNP,Hypoxanthine_c_,1,100
PPARA,ACAA1,1,100
PPARA,CPT1C,1,100
PPARA,MYC,-1,100
PRKACA,NOS1,-1,100
PRKACA,PDE10A,1,100
PRKACA,PLD1,1,100
PRKACA,PPARA,1,100
PRKCA,GSK3A,-1,100
PRKCA,INSR,1,100
PRKCA,PRKG1,1,100
PRKCE,FGFR1,-1,100
PRKCE,INSR,1,100
PRKCE,PLD1,1,100
PRKG1,MAPK14,1,100
PRKG1,PRKCE,1,100
Propanoyl Coenzyme A_m_,CRAT,1,100
Propanoyl Coenzyme A_x_,CRAT,1,100
PTPN1,IGF1R,1,100
PTPN1,INSR,1,100
RBX1,CCNE2,-1,100
RBX1,CDK2,-1,100
RPS6KA1,RBX1,1,100
S-Adenosyl-L-Homocysteine_c_,AHCYL1,1,100
S-Adenosyl-L-Homocysteine_r_,CYP2C8,1,100
SLK,CDC42,1,100
SLK,CDK5,1,100
SRPK2,HIF1A,1,100
SRPK2,PRKACA,1,100
ST8SIA4,Cytidine 5'-Monophosphate_e_,1,100
TXN,PTPN1,1,100
UPP1,Uridine_c_,1,100
USF1,P4HA1,1,100
