target,tf,mor
LINC01270,ADNP,1
LINC01315,ADNP,1
LINC01412,ADNP,1
LINC01485,ADNP,1
LINC01503,ADNP,1
LINC01556,ADNP,1
LINC01623,ADNP,1
LINC01685,ADNP,1
LINC01756,ADNP,1
LINC01942,ADNP,1
LINC01962,ADNP,1
LINC01992,ADNP,1
LINGO1,ADNP,1
LIPC,ADNP,1
LITAF,ADNP,1
LLNLR,ADNP,1
LMO2,ADNP,1
LUC7L2,ADNP,1
MAGI1,ADNP,1
MAP3K7,ADNP,1
MAPRE2,ADNP,1
MARK4,ADNP,1
MAST3,ADNP,1
MATK,ADNP,1
MB,ADNP,1
MBNL1,ADNP,1
MDM4,ADNP,1
MDS2,ADNP,1
MED18,ADNP,1
METAZOA_SRP.104,ADNP,1
MICAL2,ADNP,1
MIER1,ADNP,1
MIR1205,ADNP,1
MIR1303,ADNP,1
MIR145,ADNP,1
MIR3143,ADNP,1
MIR3194,ADNP,1
MIR3681HG,ADNP,1
MIR3922,ADNP,1
MIR4418,ADNP,1
MIR4425,ADNP,1
MIR4472,ADNP,1
MIR5093,ADNP,1
MIR5189,ADNP,1
MIR7854,ADNP,1
MLXIPL,ADNP,1
MN1,ADNP,1
MRC2,ADNP,1
MRPS22,ADNP,1
MTSS1,ADNP,1
MYB,ADNP,1
MYL10,ADNP,1
NCAM2,ADNP,1
NCLN,ADNP,1
NCOR2,ADNP,1
NDST1,ADNP,1
NEBL,ADNP,1
NEK6,ADNP,1
NFAT5,ADNP,1
NFATC2,ADNP,1
NFIA,ADNP,1
NFIC,ADNP,1
NOP56P1,ADNP,1
NOSTRIN,ADNP,1
NPRL3,ADNP,1
NUP210,ADNP,1
OAS3,ADNP,1
PACSIN1,ADNP,1
PADI4,ADNP,1
PCBP1,ADNP,1
PDE4A,ADNP,1
PDGFB,ADNP,1
PECAM1,ADNP,1
PHF20,ADNP,1
PKHD1L1,ADNP,1
PKN1,ADNP,1
PLCG2,ADNP,1
PLD1,ADNP,1
PLIN3,ADNP,1
PLPP7,ADNP,1
PLXNA2,ADNP,1
PLXND1,ADNP,1
POM121L2,ADNP,1
PPIL3,ADNP,1
PPP1R16B,ADNP,1
PRCP,ADNP,1
PREX1,ADNP,1
PRF1,ADNP,1
PRKAR2B,ADNP,1
PRKCB,ADNP,1
PRR5,ADNP,1
PRSS16,ADNP,1
PRX,ADNP,1
PTP4A2,ADNP,1
PTP4A3,ADNP,1
PTPRJ,ADNP,1
PTPRS,ADNP,1
PVT1,ADNP,1
R3HDM2,ADNP,1
R3HDM4,ADNP,1
RALGPS1,ADNP,1
RANBP9,ADNP,1
RAP1GAP,ADNP,1
RAPGEF5,ADNP,1
RASAL1,ADNP,1
RBM19,ADNP,1
RELB,ADNP,1
RFX1,ADNP,1
RHOBTB1,ADNP,1
RHOH,ADNP,1
RICTOR,ADNP,1
RN7SL121P,ADNP,1
RN7SL636P,ADNP,1
RNF10P1,ADNP,1
RNF216,ADNP,1
RNU1,ADNP,1
RNU6,ADNP,1
RNU7,ADNP,1
RP1,ADNP,1
RP11,ADNP,1
RP3,ADNP,1
RP4,ADNP,1
RP5,ADNP,1
RPH3A,ADNP,1
RPL10P2,ADNP,1
RPL12P33,ADNP,1
RPS10P7,ADNP,1
RPS4XP19,ADNP,1
RPSAP2,ADNP,1
RRAGC,ADNP,1
RTN4,ADNP,1
RUNX1,ADNP,1
SAMSN1,ADNP,1
SCARB1,ADNP,1
SCN1B,ADNP,1
SDC3,ADNP,1
SDS,ADNP,1
SDSL,ADNP,1
SEC14L1,ADNP,1
SELPLG,ADNP,1
SEMA6B,ADNP,1
SEPT9,ADNP,1
SERINC5,ADNP,1
SERPINH1,ADNP,1
SGSM1,ADNP,1
SH2B1,ADNP,1
SIPA1L3,ADNP,1
SLC13A3,ADNP,1
SLC1A7,ADNP,1
SLC22A23,ADNP,1
SLC25A25,ADNP,1
SLC29A3,ADNP,1
SLC44A2,ADNP,1
SLC4A1,ADNP,1
SLC6A6,ADNP,1
SLC7A11,ADNP,1
SLC8B1,ADNP,1
SLCO2B1,ADNP,1
SMARCC1,ADNP,1
SMIM25,ADNP,1
SMURF1,ADNP,1
SMYD3,ADNP,1
SNUPN,ADNP,1
SNX9,ADNP,1
SOGA1,ADNP,1
SOX5,ADNP,1
SPC24,ADNP,1
SPINT2,ADNP,1
SPOCD1,ADNP,1
SPPL3,ADNP,1
SRC,ADNP,1
STK10,ADNP,1
STX18,ADNP,1
SULT2B1,ADNP,1
SUMO1P1,ADNP,1
SYCN,ADNP,1
SYN3,ADNP,1
SYNJ2,ADNP,1
SYT3,ADNP,1
TAF1B,ADNP,1
TAOK3,ADNP,1
TBXAS1,ADNP,1
TCF3,ADNP,1
TESC,ADNP,1
TGM2,ADNP,1
TJP3,ADNP,1
TLE2,ADNP,1
TMC8,ADNP,1
TMEM119,ADNP,1
TMEM132B,ADNP,1
TMEM212,ADNP,1
TMEM40,ADNP,1
TNFRSF1B,ADNP,1
TPD52L1,ADNP,1
TRANK1,ADNP,1
TRERNA1,ADNP,1
TRIB1,ADNP,1
TRIM41,ADNP,1
TRPV4,ADNP,1
TSHZ2,ADNP,1
TSPAN18,ADNP,1
TTC39A,ADNP,1
TXNRD1,ADNP,1
UBE2F,ADNP,1
UBR3,ADNP,1
UNC13A,ADNP,1
UTRN,ADNP,1
VCL,ADNP,1
VWCE,ADNP,1
WNT4,ADNP,1
WSCD2,ADNP,1
XPR1,ADNP,1
XXBAC,ADNP,1
XXYLT1,ADNP,1
Y_RNA.478,ADNP,1
ZCCHC11,ADNP,1
ZDHHC14,ADNP,1
ZFP36L2,ADNP,1
ZMIZ1,ADNP,1
ZMYND8,ADNP,1
ZNF217,ADNP,1
ZNF618,ADNP,1
CYP1A1,AHR,1
CYP1A2,AHR,1
CYP1B1,AHR,1
FOS,AHR,1
MYC,AHR,1
UGT1A6,AHR,1
ASAP1,AHR,1
ERG,AHR,1
VGLL4,AHR,1
ARHGAP15,AHR,1
ARID5B,AHR,1
CREB5,AHR,1
CTNNA1,AHR,1
CTNNA2,AHR,1
DOCK4,AHR,1
EPB41L2,AHR,1
FRMD4A,AHR,1
GAS7,AHR,1
KAZN,AHR,1
KDM4C,AHR,1
LHFPL2,AHR,1
MAP4K4,AHR,1
MAST4,AHR,1
MID1,AHR,1
MYO1B,AHR,1
NCOR2,AHR,1
NFATC2,AHR,1
NRP2,AHR,1
PHACTR3,AHR,1
PLCB1,AHR,1
RAPGEF4,AHR,1
RBMS1,AHR,1
RUNX1,AHR,1
SIPA1L2,AHR,1
SLCO3A1,AHR,1
SOS1,AHR,1
SULF2,AHR,1
TRIM37,AHR,1
TRIO,AHR,1
TRPS1,AHR,1
TSHZ2,AHR,1
UTRN,AHR,1
ZNF217,AHR,1
ZNF385D,AHR,1
ABCE1,AR,1
ACAD10,AR,1
ACPP,AR,1
AHSG,AR,1
AKR1B1,AR,1
AKR1C3,AR,-1
AKT1,AR,1
ALPPL2,AR,1
ANAPC10,AR,1
AP2M1,AR,1
APPBP2,AR,1
ATF6,AR,1
ATM,AR,1
ATP2B4,AR,1
BANF1,AR,1
BRE,AR,1
BTD,AR,1
C1orf21,AR,1
CCNG2,AR,1
CD4,AR,1
CDC6,AR,1
CDH2,AR,1
CDKL5,AR,1
CDKN1A,AR,1
CITED2,AR,1
COASY,AR,1
CPT2,AR,1
CRISP1,AR,1
CYCS,AR,1
DBI,AR,1
DDC,AR,1
DDT,AR,1
DHRS8,AR,1
DHX15,AR,1
EGFR,AR,1
EIF3S2,AR,1
ELF3,AR,1
ERBB3,AR,1
ESRRA,AR,1
EYA2,AR,1
FAM119B,AR,1
FAM13A1,AR,1
FAM174B,AR,1
FKBP5,AR,1
FOXA1,AR,1
FXYD3,AR,1
GLRX,AR,1
GNL1,AR,1
GRB10,AR,1
GTF2F1,AR,1
HES1,AR,1
HIST2H2BE,AR,1
HK2,AR,1
HLA-E,AR,1
HNRPA1,AR,1
IFI35,AR,1
IGF1R,AR,1
IGFBP3,AR,1
IGHG1,AR,1
IL1R1,AR,1
JUN,AR,1
KCNH2,AR,1
KIAA0247,AR,1
KIAA1217,AR,-1
KLF5,AR,1
KLK2,AR,1
KLK3,AR,1
KLK4,AR,1
KRT18,AR,1
KRT8,AR,1
LIFR,AR,1
LOC440157,AR,1
MED1,AR,1
MMP13,AR,1
MRPS27,AR,1
MT2A,AR,1
MUC1,AR,-1
MYC,AR,1
NCOA2,AR,-1
NDRG1,AR,1
NKX3-1,AR,1
NLGN4X,AR,1
NME7,AR,1
NPAT,AR,1
NPEPPS,AR,1
NUP214,AR,1
ORM1,AR,1
ORM2,AR,1
PEX6,AR,1
PGC,AR,1
PIGR,AR,1
PIN1,AR,1
PMAIP1,AR,1
PMEPA1,AR,1
PNPLA4,AR,1
PNRC1,AR,1
PPP2R5D,AR,1
PRAME,AR,1
PRKCD,AR,1
PRPS1,AR,1
PTGS2,AR,-1
PTPN9,AR,1
PTPRM,AR,1
QSCN6,AR,1
RBMX,AR,1
RBPMS,AR,1
RELA,AR,-1
RNASE4,AR,1
SCAP,AR,1
SCNN1A,AR,1
SDF2,AR,1
SERPINB5,AR,-1
SERPINI1,AR,1
SLC25A11,AR,1
SMARCA2,AR,1
SMS,AR,1
SNAI2,AR,1
SORD,AR,1
SOX4,AR,1
SPDEF,AR,1
STK39,AR,1
STXBP2,AR,1
SUOX,AR,1
TESK1,AR,1
THRA,AR,1
TMPRSS2,AR,1
TNFRSF1A,AR,1
TRPS1,AR,1
UBC,AR,1
UBE2D3,AR,1
UGT2B15,AR,1
VAPA,AR,1
VEGFA,AR,1
XPA,AR,1
ZBTB16,AR,1
ZCCHC9,AR,1
ZFHX4,AR,1
ZNF559,AR,1
CDKN1A,ARID1A,1
SMAD3,ARID1A,1
ANKRD11,ARID1A,1
ARID1B,ARID1A,1
BCL9L,ARID1A,1
CHD8,ARID1A,1
HIVEP1,ARID1A,1
KDM2A,ARID1A,1
LARP1,ARID1A,1
MTMR12,ARID1A,1
MTMR4,ARID1A,1
PHF12,ARID1A,1
PTCH1,ARID1A,1
RERE,ARID1A,1
SIN3A,ARID1A,1
SMARCA2,ARID1A,1
TBC1D14,ARID1A,1
TMEM127,ARID1A,1
TNRC18,ARID1A,1
TRIP12,ARID1A,1
TSN,ARID1A,1
WDR82,ARID1A,1
ARID2,ARID1B,1
BIRC6,ARID1B,1
CHD6,ARID1B,1
DCAF5,ARID1B,1
FOXN3,ARID1B,1
FOXO3,ARID1B,1
HIVEP2,ARID1B,1
MGA,ARID1B,1
MLLT10,ARID1B,1
NCOA2,ARID1B,1
NCOA6,ARID1B,1
NFATC3,ARID1B,1
NFIA,ARID1B,1
PLEKHM3,ARID1B,1
PUM1,ARID1B,1
RALGAPA1,ARID1B,1
RANBP9,ARID1B,1
SPTBN1,ARID1B,1
UTRN,ARID1B,1
AGTPBP1,ARID2,1
ATXN7,ARID2,1
BAZ2A,ARID2,1
BBX,ARID2,1
CACUL1,ARID2,1
CDK17,ARID2,1
CHD2,ARID2,1
CHD9,ARID2,1
CPSF6,ARID2,1
FOXJ3,ARID2,1
HNRNPH1,ARID2,1
HNRNPL,ARID2,1
JMJD1C,ARID2,1
LRP6,ARID2,1
MAP4K5,ARID2,1
MLLT10,ARID2,1
MSI2,ARID2,1
NCOA2,ARID2,1
NFAT5,ARID2,1
PAWR,ARID2,1
RBPJ,ARID2,1
RCOR3,ARID2,1
SIAH1,ARID2,1
SOS1,ARID2,1
TIAL1,ARID2,1
TNPO1,ARID2,1
USP3,ARID2,1
WAC,ARID2,1
ZCCHC2,ARID2,1
ZNF131,ARID2,1
IGHV1-69,ARID3A,1
IGHV3-23,ARID3A,1
ACKR2,ARID3A,1
BAZ2A,ARID3A,1
BCAT1,ARID3A,1
CCR7,ARID3A,1
CIC,ARID3A,1
CYTH1,ARID3A,1
DDIT4,ARID3A,1
DENND3,ARID3A,1
ERN1,ARID3A,1
FOXK1,ARID3A,1
GAB2,ARID3A,1
GRK6,ARID3A,1
KCNAB2,ARID3A,1
MKNK2,ARID3A,1
MNT,ARID3A,1
PLIN2,ARID3A,1
PTK2B,ARID3A,1
SEC14L1,ARID3A,1
ST3GAL1,ARID3A,1
STK10,ARID3A,1
TGIF1,ARID3A,1
ZBTB7B,ARID3A,1
ZC3H3,ARID3A,1
CYP1B1,ARNT,1
EPO,ARNT,1
LDHA,ARNT,1
UGT1A6,ARNT,1
VEGFA,ARNT,1
ANGPT1,ARNT,1
ESR1,ARNT,1
AFF1,ARNT,1
ALDOA,ARNT,1
ANK3,ARNT,1
ARID1B,ARNT,1
ARID5B,ARNT,1
ASAP1,ARNT,1
CDH4,ARNT,1
CTNNA2,ARNT,1
DAAM1,ARNT,1
DOCK1,ARNT,1
DOCK4,ARNT,1
DST,ARNT,1
DYNC2H1,ARNT,1
EIF3H,ARNT,1
ENO1,ARNT,1
ERC1,ARNT,1
EXOC6B,ARNT,1
FNDC3B,ARNT,1
GLI3,ARNT,1
GTDC1,ARNT,1
IQSEC1,ARNT,1
LPP,ARNT,1
MACROD2,ARNT,1
MED13L,ARNT,1
MID1,ARNT,1
NBEA,ARNT,1
NFASC,ARNT,1
NFIA,ARNT,1
NLGN1,ARNT,1
PIP4K2A,ARNT,1
PTK2,ARNT,1
PTPRD,ARNT,1
PTPRR,ARNT,1
RBMS1,ARNT,1
RBMS3,ARNT,1
RBPJ,ARNT,1
RREB1,ARNT,1
SLC22A23,ARNT,1
SORL1,ARNT,1
SOX5,ARNT,1
SPAG9,ARNT,1
SPOCK1,ARNT,1
TBC1D5,ARNT,1
TCF12,ARNT,1
TCF4,ARNT,1
TENM2,ARNT,1
TFRC,ARNT,1
THSD7A,ARNT,1
TRIO,ARNT,1
TTLL5,ARNT,1
UVRAG,ARNT,1
VGLL4,ARNT,1
VPS13B,ARNT,1
VPS13D,ARNT,1
WSCD1,ARNT,1
AVP,ARNTL,1
BHLHE40,ARNTL,1
CRY1,ARNTL,1
CRY2,ARNTL,1
DBP,ARNTL,1
NR1D1,ARNTL,1
NR1D2,ARNTL,1
PER1,ARNTL,1
PER2,ARNTL,1
PER3,ARNTL,1
PCSK6,ASCL1,-1
ADCY5,ASCL1,1
ADGRG1,ASCL1,1
AES,ASCL1,1
AGBL4,ASCL1,1
ANK1,ASCL1,1
ARHGEF10L,ASCL1,1
ATP11A,ASCL1,1
BAHCC1,ASCL1,1
CCDC57,ASCL1,1
CCDC88B,ASCL1,1
CCDC88C,ASCL1,1
CCNY,ASCL1,1
CHRNB4,ASCL1,1
CPLX2,ASCL1,1
DLGAP4,ASCL1,1
FAM129B,ASCL1,1
FAM13A,ASCL1,1
FARP1,ASCL1,1
FHL2,ASCL1,1
GOLM1,ASCL1,1
HPCAL1,ASCL1,1
IQSEC1,ASCL1,1
KALRN,ASCL1,1
LFNG,ASCL1,1
LGR6,ASCL1,1
MPRIP,ASCL1,1
MYO7A,ASCL1,1
NCOR2,ASCL1,1
NOL4L,ASCL1,1
PGS1,ASCL1,1
PKP1,ASCL1,1
PLA2G6,ASCL1,1
PLXNA2,ASCL1,1
PPM1H,ASCL1,1
PTPRD,ASCL1,1
PTPRT,ASCL1,1
RBFOX3,ASCL1,1
RNF165,ASCL1,1
RUNX1,ASCL1,1
SMPD3,ASCL1,1
SPOCK1,ASCL1,1
ST18,ASCL1,1
TACC2,ASCL1,1
TCF20,ASCL1,1
TIAM1,ASCL1,1
TMEM132D,ASCL1,1
TMEM163,ASCL1,1
TNR,ASCL1,1
TP73,ASCL1,1
TRIO,ASCL1,1
VAV2,ASCL1,1
WSCD1,ASCL1,1
ZDHHC14,ASCL1,1
BCL2,ATF1,1
CCNA1,ATF1,-1
CFTR,ATF1,1
CGA,ATF1,1
CIITA,ATF1,1
CYP11B1,ATF1,1
CYP11B2,ATF1,1
ERBB2,ATF1,1
FLT1,ATF1,1
IL10,ATF1,1
LDHA,ATF1,1
MAP1LC3B,ATF1,1
NTS,ATF1,1
PCSK1,ATF1,1
PLAUR,ATF1,1
SLC20A1,ATF1,1
TGFB2,ATF1,1
TH,ATF1,1
TOP2A,ATF1,1
UGT8,ATF1,1
APOC3,ATF2,1
ATF3,ATF2,1
CCND1,ATF2,1
CDKN1A,ATF2,1
CYP11B1,ATF2,1
CYP11B2,ATF2,1
DUSP1,ATF2,1
FN1,ATF2,1
FOS,ATF2,1
IFNB1,ATF2,1
IFNG,ATF2,1
IMPDH2,ATF2,1
INS,ATF2,1
JUN,ATF2,1
MMP2,ATF2,1
NOS3,ATF2,-1
NR4A2,ATF2,1
PCK1,ATF2,1
PCK2,ATF2,1
PLAT,ATF2,1
PTGS2,ATF2,1
RB1,ATF2,1
TGFB2,ATF2,-1
TNF,ATF2,1
ASNS,ATF3,1
CCL5,ATF3,-1
DDIT3,ATF3,1
GCLC,ATF3,-1
GDF15,ATF3,1
ID1,ATF3,-1
LDLR,ATF3,-1
SELE,ATF3,-1
STAT3,ATF3,-1
AKAP13,ATF3,-1
ANXA1,ATF3,-1
BHLHE40,ATF3,-1
COA7,ATF3,-1
CREB5,ATF3,-1
ELMSAN1,ATF3,-1
ETS2,ATF3,-1
FAM49B,ATF3,-1
GLIS3,ATF3,-1
GNA12,ATF3,-1
HSPB1,ATF3,-1
KDM4C,ATF3,-1
KDM6B,ATF3,-1
KLF6,ATF3,-1
MAPKAP1,ATF3,-1
MAPRE2,ATF3,-1
MED15,ATF3,-1
MYO18A,ATF3,-1
NFIA,ATF3,-1
PCBP1,ATF3,-1
PDE4B,ATF3,-1
PER1,ATF3,-1
PTP4A1,ATF3,-1
RAD9A,ATF3,-1
RCAN1,ATF3,-1
RUNX1,ATF3,-1
SMOX,ATF3,-1
SND1,ATF3,-1
SPAG9,ATF3,-1
SPRED2,ATF3,-1
SREBF1,ATF3,-1
SYTL2,ATF3,-1
TOM1L2,ATF3,-1
TRIB1,ATF3,-1
TSC22D2,ATF3,-1
UBC,ATF3,-1
VGLL4,ATF3,-1
VMP1,ATF3,-1
ZBTB20,ATF3,-1
ZFP36L1,ATF3,-1
ASNS,ATF4,1
ATF3,ATF4,1
CEBPB,ATF4,1
CHAC1,ATF4,1
CXCL8,ATF4,1
DDIT3,ATF4,1
DDIT4,ATF4,1
DDR2,ATF4,1
DISC1,ATF4,1
FGF21,ATF4,1
HRK,ATF4,1
MCL1,ATF4,1
NUPR1,ATF4,1
PTGS2,ATF4,1
TRIB3,ATF4,1
VEGFA,ATF4,1
ATP2A2,ATF6,1
CALR,ATF6,1
DDIT3,ATF6,1
DNAJC3,ATF6,1
HSP90B1,ATF6,1
HSPA5,ATF6,1
RTN3,ATF6,1
SEL1L,ATF6,1
SRF,ATF6,1
XBP1,ATF6,1
ARID1A,ATF7,1
ARID1B,ATF7,1
CMIP,ATF7,1
CREB3L2,ATF7,1
CREBBP,ATF7,1
DEPDC5,ATF7,1
DST,ATF7,1
EML2,ATF7,1
EXOC4,ATF7,1
FAAP20,ATF7,1
FAM122C,ATF7,1
IGF1,ATF7,1
KANSL1,ATF7,1
KDM4C,ATF7,1
KPNA6,ATF7,1
MOV10L1,ATF7,1
MSI2,ATF7,1
NFIA,ATF7,1
PHF21A,ATF7,1
PTPRS,ATF7,1
SND1,ATF7,1
TCF12,ATF7,1
TEAD1,ATF7,1
TNRC6B,ATF7,1
TP53BP1,ATF7,1
UBE2H,ATF7,1
XPO7,ATF7,1
ZFP36L1,ATF7,1
MGA,ATRX,1
ZBTB1,ATRX,1
ANKRD24,ATRX,1
ARRDC3,ATRX,1
CCDC187,ATRX,1
CDK2AP2,ATRX,1
CHFR,ATRX,1
CHP1,ATRX,1
CTA,ATRX,1
HBA1,ATRX,-1
HBA2,ATRX,-1
LUC7L2,ATRX,1
NME4,ATRX,1
PTGES2,ATRX,1
TAF7,ATRX,1
ZBTB25,ATRX,1
ZNF140,ATRX,1
HMOX1,BACH1,-1
AFG3L1P,BACH1,1
ALDOA,BACH1,1
ASAP1,BACH1,1
CDK6,BACH1,1
CLIP4,BACH1,1
DPH6,BACH1,1
GCLC,BACH1,1
IFRD1,BACH1,1
KCTD20,BACH1,1
LBR,BACH1,1
MAFG,BACH1,1
MAPT,BACH1,1
ME1,BACH1,1
MSANTD3,BACH1,1
NQO2,BACH1,1
PHLDA2,BACH1,1
PIK3CD,BACH1,1
PSAP,BACH1,1
RFFL,BACH1,1
SLC48A1,BACH1,1
SLC7A11,BACH1,1
SLX4IP,BACH1,1
SMARCA4,BACH1,1
SQSTM1,BACH1,1
SSC4D,BACH1,1
SYNJ2,BACH1,1
TNFAIP2,BACH1,1
TRIM56,BACH1,1
IL2,BACH2,1
AP1B1,BACH2,1
ARHGEF3,BACH2,1
COQ8B,BACH2,1
DAAM1,BACH2,1
EGLN3,BACH2,1
EPS15L1,BACH2,1
ERCC1,BACH2,1
ETS1,BACH2,1
FAM65B,BACH2,1
FOXO3,BACH2,1
FOXP1,BACH2,1
GSTP1,BACH2,1
HIVEP2,BACH2,1
IFRD1,BACH2,1
ITPKB,BACH2,1
JMJD1C,BACH2,1
KCTD20,BACH2,1
KLHL21,BACH2,1
LBR,BACH2,1
LRRK2,BACH2,1
MAFG,BACH2,1
MGAT5,BACH2,1
MYBPC1,BACH2,1
OSBPL10,BACH2,1
PLXND1,BACH2,1
PRDM10,BACH2,1
PRDM2,BACH2,1
PSAP,BACH2,1
PURB,BACH2,1
RASAL3,BACH2,1
RASSF2,BACH2,1
RFFL,BACH2,1
RGS3,BACH2,1
RP1,BACH2,1
SEMA4D,BACH2,1
SIAH2,BACH2,1
SLC16A6,BACH2,1
SLC6A6,BACH2,1
SLC7A7,BACH2,1
SNX25,BACH2,1
SQSTM1,BACH2,1
SWAP70,BACH2,1
TBK1,BACH2,1
TCF4,BACH2,1
TEX19,BACH2,1
TMSB4X,BACH2,1
TNFSF9,BACH2,1
TUBA4A,BACH2,1
TXLNB,BACH2,1
ZHX2,BACH2,1
TNFRSF8,BATF,1
APBB1IP,BATF,1
ARHGAP25,BATF,1
CACNB4,BATF,1
CCR7,BATF,1
CTSC,BATF,1
DENND1A,BATF,1
DMD,BATF,1
DOCK2,BATF,1
ELF1,BATF,1
FAM49B,BATF,1
