sample	tissue_type
t_C3L.00561	tumour
t_C3L.01287	tumour
t_C3L.01603	tumour
t_C3N.01524	tumour
t_C3L.00359	tumour
t_C3N.01214	tumour
t_C3N.00834	tumour
t_C3N.01261	tumour
t_C3L.00917	tumour
t_C3L.01861	tumour
t_C3L.01352	tumour
t_C3N.00194	tumour
t_C3L.00010	tumour
t_C3L.00607	tumour
t_C3N.00495	tumour
t_C3N.00831	tumour
t_C3L.01281	tumour
t_C3N.01646	tumour
t_C3L.00791	tumour
t_C3L.00369	tumour
t_C3L.00183	tumour
t_C3N.01180	tumour
t_C3N.00168	tumour
t_C3L.00004	tumour
t_C3N.00150	tumour
t_C3N.00953	tumour
t_C3L.00097	tumour
t_C3L.00583	tumour
t_C3N.01178	tumour
t_C3L.00088	tumour
t_C3N.00244	tumour
t_C3L.00908	tumour
t_C3L.00814	tumour
t_C3L.01885	tumour
t_C3L.00026	tumour
t_C3L.00447	tumour
t_C3N.00148	tumour
t_C3N.00246	tumour
t_C3L.00416	tumour
t_C3L.00096	tumour
t_C3L.00765	tumour
t_C3L.01836	tumour
t_C3L.00902	tumour
t_C3N.00646	tumour
t_C3N.01175	tumour
t_C3L.00011	tumour
t_C3N.01200	tumour
t_C3N.00177	tumour
t_C3N.01176	tumour
t_C3L.00103	tumour
t_C3N.01649	tumour
t_C3N.01808	tumour
t_C3N.00149	tumour
t_C3L.00817	tumour
t_C3N.00573	tumour
t_C3L.00581	tumour
t_C3L.01313	tumour
t_C3L.00360	tumour
t_C3N.01361	tumour
t_C3N.01651	tumour
t_C3L.01302	tumour
t_C3L.00907	tumour
t_C3L.01607	tumour
t_C3L.00448	tumour
t_C3L.01286	tumour
t_C3N.01179	tumour
t_C3L.00606	tumour
t_C3N.01648	tumour
t_C3N.00242	tumour
t_C3L.01882	tumour
t_C3L.00418	tumour
t_C3N.00733	tumour
t_C3N.00577	tumour
t_C3N.01522	tumour
t_C3L.00079	tumour
t_C3N.01220	tumour
t_C3L.00910	tumour
t_C3L.01283	tumour
t_C3L.00813	tumour
t_C3L.01560	tumour
t_C3L.01557	tumour
t_C3L.00799	tumour
t_C3L.00796	tumour
t_C3L.00792	tumour
t_C3N.00832	tumour
t_C3L.01288	tumour
t_C3L.00766	tumour
t_C3L.00610	tumour
t_C3L.00800	tumour
t_C3N.00154	tumour
t_C3N.01213	tumour
t_C3L.01553	tumour
t_C3L.00812	tumour
t_C3L.00790	tumour
t_C3N.00313	tumour
t_C3N.00852	tumour
t_C3N.00437	tumour
t_C3N.00320	tumour
t_C3N.00305	tumour
t_C3N.00492	tumour
t_C3N.00435	tumour
t_C3N.00315	tumour
t_C3N.00317	tumour
t_C3N.00491	tumour
t_C3N.00314	tumour
t_C3N.00380	tumour
t_C3N.00312	tumour
t_C3N.00494	tumour
t_C3N.00390	tumour
t_C3N.00310	tumour
n_C3L.01287	normal
n_C3L.00561	normal
n_C3N.01524	normal
n_C3L.01603	normal
n_C3N.00834	normal
n_C3N.01214	normal
n_C3N.01261	normal
n_C3L.00917	normal
n_C3L.00607	normal
n_C3N.00194	normal
n_C3L.00010	normal
n_C3L.01861	normal
n_C3N.01646	normal
n_C3L.01281	normal
n_C3N.00495	normal
n_C3N.00831	normal
n_C3N.00168	normal
n_C3L.00369	normal
n_C3L.00097	normal
n_C3L.00004	normal
n_C3N.00150	normal
n_C3N.00244	normal
n_C3N.01178	normal
n_C3L.00583	normal
n_C3L.00088	normal
n_C3L.00814	normal
n_C3L.01885	normal
n_C3L.00908	normal
n_C3L.00026	normal
n_C3L.00447	normal
n_C3L.00416	normal
n_C3N.00148	normal
n_C3N.00646	normal
n_C3L.00902	normal
n_C3L.00096	normal
n_C3L.01836	normal
n_C3N.00177	normal
n_C3N.01200	normal
n_C3L.00011	normal
n_C3N.01175	normal
n_C3N.01808	normal
n_C3N.01176	normal
n_C3L.00103	normal
n_C3N.01649	normal
n_C3N.00149	normal
n_C3L.00581	normal
n_C3L.01313	normal
n_C3N.00573	normal
n_C3L.01302	normal
n_C3N.01361	normal
n_C3N.01651	normal
n_C3L.00360	normal
n_C3L.00448	normal
n_C3L.00907	normal
n_C3L.01286	normal
n_C3L.01607	normal
n_C3N.01179	normal
n_C3L.00606	normal
n_C3N.01648	normal
n_C3N.00242	normal
n_C3L.00418	normal
n_C3N.00577	normal
n_C3L.01882	normal
n_C3N.00733	normal
n_C3L.00910	normal
n_C3L.00079	normal
n_C3N.01522	normal
n_C3N.01220	normal
n_C3N.00852	normal
n_C3N.00491	normal
n_C3N.00314	normal
n_C3N.00435	normal
n_C3N.00310	normal
n_C3N.00390	normal
n_C3N.00494	normal
