pathway,-log10(p-value)
 ANDROGEN RESPONSE,0.8511808901841512
 INFLAMMATORY RESPONSE,0.9159158249304431
 APICAL JUNCTION,1.039804669821695
 PANCREAS BETA CELLS,1.1375644762946977
 SPERMATOGENESIS,1.223216698547819
 HYPOXIA,1.2947410866684392
 MYC TARGETS V2,1.323752853254628
 NOTCH SIGNALING,1.359714990034673
 IL2 STAT5 SIGNALING,1.566436084469605
 UV RESPONSE UP,1.6240517062730473
 INTERFERON ALPHA RESPONSE,1.7745862089264535
 UV RESPONSE DN,2.3185372523311867
 G2M CHECKPOINT,3.042304623198124
 IL6 JAK STAT3 SIGNALING,3.2030052477908053
 COMPLEMENT,3.270232134800547
 WNT BETA CATENIN SIGNALING,4.29942281852722
 INTERFERON GAMMA RESPONSE,4.735858708008818
 TNFA SIGNALING VIA NFKB,5.177031635116458
 ALLOGRAFT REJECTION,6.728102637785774
 PI3K AKT MTOR SIGNALING,8.674909276588481
