Node1,Node2,Sign,Weight
AGER,CSNK2A2,1,100
AKT1,EP300,1,28
AKT1,ESR1,1,100
AKT1,ETS1,1,100
AKT1,GSK3B,1,100
AKT1,HIF1A,1,100
AKT1,MEF2C,1,100
AKT1,NFKB1,1,100
AKT1,NR4A1,-1,100
AKT1,RXRB,1,100
AKT1,STAT3,1,100
AKT2,DEPTOR,1,100
AKT2,EP300,1,28
AKT2,ESR1,1,100
AKT2,IKBKB,1,100
AKT2,NR4A1,-1,100
AKT3,CDK1,1,100
AKT3,CDK2,1,100
AKT3,EP300,1,28
AKT3,ESR1,1,100
AKT3,IKBKB,1,100
AKT3,MAPK1,1,100
AKT3,NFKB1,1,100
AKT3,NR4A1,-1,100
AKT3,RPS6KB1,1,100
APEX1,EPAS1,1,100
APEX1,RELB,1,100
APEX1,STAT3,1,100
APEX1,TP53,1,100
ARNTL,BHLHE40,1,100
ATF6,SREBF2,-1,100
ATM,BUB1,1,100
ATM,DYRK2,1,100
ATM,EP300,1,28
ATM,HIF1A,1,100
ATM,NFKB1,1,100
ATM,TP53,1,100
ATR,ATM,1,100
ATR,TP53,1,100
B2M,EOMES,1,22
BCL3,NFKB1,1,100
BMP4,BMPR2,1,100
BMP4,TAB2,1,50
BMPR2,AGER,1,100
BMPR2,TAB2,1,50
BUB1,BCL3,1,100
BUB1,IRF3,1,100
BUB1,SMARCA4,1,54
BUB1,TP53,1,100
CBLB,EGF,1,100
CBLB,LEPR,-1,100
CCNB1,BUB1,1,100
CD8A,EOMES,1,22
CDK1,BUB1,1,100
CDK1,CCNB1,1,100
CDK1,CDC7,1,100
CDK1,FOXM1,1,100
CDK1,PKN1,1,100
CDK1,RPS6KB1,1,100
CDK1,RUNX1,1,100
CDK1,TP53,1,100
CDK2,ATR,1,100
CDK2,ESR1,1,100
CDK2,FOXM1,1,100
CDK2,MYC,1,100
CDK2,NPAT,1,100
CDK2,TP53,1,100
CDK4,BCL3,1,100
CDK4,ETS1,1,100
CDK4,FOXM1,1,100
CDK4,IRF3,1,100
CDK4,MEF2A,-1,100
CDK4,SMAD4,1,100
CIITA,RFXANK,1,100
CIITA,RFXAP,1,100
CREB3L1,EP300,-1,32
CSNK2A1,ESR1,-1,100
CSNK2A1,IKZF1,-1,100
CSNK2A1,MAX,-1,100
CSNK2A1,NR1H3,-1,100
CSNK2A1,TFAP2A,1,100
CSNK2A2,MTA1,1,100
CTNND1,PIK3CA,1,100
CTNND1,ZBTB33,-1,100
DUSP1,MAPK1,1,50
DUSP1,MAPK13,-1,50
DUSP1,MAPK3,1,50
DUSP1,MAPK8,1,50
DVL2,LRRK2,1,100
DVL2,RAC1,1,100
DYRK2,ETS1,1,100
DYRK2,SMAD4,1,100
DYRK2,TP53,1,100
E2F3,CCNB1,1,100
E2F3,CDK1,1,100
E2F3,MEF2C,1,100
E2F3,MYC,1,100
E2F4,CDK1,1,100
E2F4,NPAT,1,100
EGF,ATM,1,100
EGF,CTNND1,1,100
EGF,MAPK1,1,100
EGF,MAPK3,1,100
EGF,NFKB1,1,100
EGF,PIK3CA,1,100
EGF,STAT3,1,100
EGFR,CTNND1,-1,100
EGR1,DUSP1,1,50
EGR1,TP53,1,100
EP300,GATA3,1,10
EP300,HES1,1,28
EP300,HIF1A,1,28
EP300,IRF1,1,28
EP300,IRF9,1,28
EP300,MEF2A,1,32
EP300,MEF2C,1,28
EP300,MYC,-1,32
EP300,NCOA2,1,32
EP300,NR1H3,1,28
EP300,NR4A1,1,32
EP300,RBPJ,1,28
EP300,SMAD4,1,28
EP300,STAT3,1,28
EP300,TP53,1,28
EPAS1,VEGFC,1,100
ESR1,MYC,1,100
ESR1,PMAIP1,1,100
ESR2,GNG2,1,100
Estradiol_c_,ESR1,1,44
Estradiol_c_,ESR2,1,44
Estradiol_r_,ESR1,1,56
Estradiol_r_,ESR2,1,56
ETS1,CD8A,1,22
ETS1,ERG,1,100
ETS1,RUNX1,1,100
ETS1,VEGFC,1,100
