Nodes,measured,type,Activity
Cis-Aconitate_m_,1,metabolite,1
Adenine_c_,1,metabolite,-1
Cytidine-5'-DIphosphate_c_,1,metabolite,1
Cytidine-5'-DIphosphate_m_,1,metabolite,1
Cytidine-5'-DIphosphate_n_,1,metabolite,1
Cytidine-5'-DIphosphate_e_,1,metabolite,1
L-Citrulline_c_,1,metabolite,1
Ethanolamine_c_,1,metabolite,-1
L-Glutamine_c_,1,metabolite,1
Guanosine-5'-Monophosphate_n_,1,metabolite,-1
Guanosine-5'-Monophosphate_c_,1,metabolite,-1
Guanosine-5'-Monophosphate_g_,1,metabolite,-1
Reduced Glutathione_c_,1,metabolite,1
Hypoxanthine_c_,1,metabolite,-1
Inosine_c_,1,metabolite,-1
Inosine_e_,1,metabolite,-1
Isovaleryl Carnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_x_,1,metabolite,-1
O-Propanoylcarnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_m_,1,metabolite,-1
S-Adenosyl-L-Homocysteine_c_,1,metabolite,-1
Succinate_c_,1,metabolite,-1
Succinate_m_,1,metabolite,-1
Uridine_l_,1,metabolite,-1
Uridine_e_,1,metabolite,-1
Uridine_c_,1,metabolite,-1
Hydrogen Peroxide_x_,0,metabolite,-1
Adenosine_c_,0,metabolite,-1
Adenosine_e_,0,metabolite,-1
L-Glutamate_c_,0,metabolite,1
Cytidine 5'-Monophosphate_m_,0,metabolite,1
ACP5,0,metab_enzyme,-1
ACO1,0,metab_enzyme,1
ADA,0,metab_enzyme,-1
CPT1C,0,metab_enzyme,-1
CPT1A,0,metab_enzyme,-1
CDS1,0,metab_enzyme,1
ACAA1,0,metab_enzyme,-1
ENTPD1,0,metab_enzyme,1
NME2,0,Kinase,1
NME1,0,Kinase,1
NOS1,0,metab_enzyme,1
NT5E,0,metab_enzyme,-1
PLD2,0,metab_enzyme,-1
PLD1,0,metab_enzyme,-1
PDE9A,0,metab_enzyme,-1
PDE10A,0,metab_enzyme,-1
BCAT1,0,metab_enzyme,1
P4HA2,0,metab_enzyme,-1
Propanoyl Coenzyme A_m_,0,metabolite,-1
CRAT,0,metab_enzyme,-1
Propanoyl Coenzyme A_x_,0,metabolite,-1
CMPK2,0,metab_enzyme,1
2-Deoxyadenosine_c_,0,metabolite,-1
NME2_NME1,0,metab_enzyme,1
NME1_NME2,0,protein,1
Alpha-D-Ribose 1-Phosphate_c_,0,metabolite,-1
UPP2,0,metab_enzyme,-1
GGT5,0,metab_enzyme,1
GGT1,0,metab_enzyme,1
GGT2,0,metab_enzyme,1
GGT7,0,metab_enzyme,1
GGT6_GGTLC2,0,protein,1
ACOX3_EHHADH_HSD17B4_ACAA1,0,metab_enzyme,-1
GLUL,0,metab_enzyme,1
