Node1,Node2,Sign,Weight
2-Deoxyadenosine_c_,PNP,1,42
ACAA1,ACOX3_EHHADH_HSD17B4_ACAA1,1,80
ACAA1,Propanoyl Coenzyme A_m_,1,100
ACAA1,Propanoyl Coenzyme A_x_,1,20
ACO1,Cis-Aconitate_m_,1,100
ACOX3_EHHADH_HSD17B4_ACAA1,Hydrogen Peroxide_x_,1,1
ACOX3_EHHADH_HSD17B4_ACAA1,Propanoyl Coenzyme A_x_,1,80
ACP5,Uridine_l_,1,100
ADA,Inosine_c_,1,48
ADA,Inosine_e_,1,100
Adenine_c_,PNP,1,100
Adenosine_c_,ADA,1,37
Adenosine_c_,ADORA2B,1,100
Adenosine_c_,PNP,1,58
Adenosine_e_,ADA,1,59
ADORA2B,GNAI1,1,100
AGER,CSNK2A2,1,100
AGER,DBF4B,1,100
AGER,NFKB1,1,100
AGER,PIK3CA,1,100
AGER,SMAD4,1,100
AHCY,Adenosine_c_,1,43
AHCYL1,Adenosine_c_,1,15
AKT3,EP300,1,100
AKT3,ESR1,1,100
AKT3,GATA2,-1,100
AKT3,GSK3A,-1,100
AKT3,NFKBIA,1,100
AKT3,POU5F1,1,100
AKT3,SMAD3,-1,100
AKT3,SRPK2,1,100
Alpha-D-Ribose 1-Phosphate_c_,UPP2,1,100
ARNT,AHR,1,100
ARNT,EGLN1,1,100
ARNT,ETS1,1,100
ARNT,NT5E,1,100
ATF4,CREBBP,-1,28
ATM,CDS1,1,100
ATM,CREB1,-1,5
ATM,PRKDC,1,46
BCAT1,L-Glutamate_c_,1,100
BMPR2,AGER,1,100
BTK,ATF6,1,100
BTK,CDK9,1,100
BTK,JUN,1,100
BTK,MAPK1,1,100
BTK,MAPK8,1,100
BTK,SMAD3,1,100
CALM1,CAMK2D,1,100
CALM1,TRPC1,-1,100
CAMK2D,CEACAM1,1,100
CAMK2D,MAPT,1,100
CAMK2D,NR0B2,1,100
CAMK2D,PRKCD,1,100
CCNH,CCNB1,1,100
CCNH,CDK7,1,100
CDC42,MAP3K10,1,100
CDC42,MAPK1,1,100
CDC42,MAPK10,1,100
CDC42,MAPK8,1,100
CDC42,MAPK9,1,100
CDC42,NFATC2,1,100
CDC42,PAK2,1,100
CDK1,NME1,1,48
CDK2,FOXM1,1,100
CDK2,FOXO3,-1,100
CDK2,MYC,1,100
CDK2,PAK1,-1,100
CDK2,SIRT2,-1,100
CDK2,TFDP1,1,100
CDK5,ATM,1,100
CDK5,CRY1,1,100
CDK5,ETS1,1,100
CDK5,MAPT,-1,100
CDK5,PAK1,-1,100
CDK5,SMAD3,1,100
CDK5,SMAD4,1,100
CDK5,STAT3,1,100
CDK5,TSC22D4,1,100
CDK5,ZHX1,1,100
CDK7,CRY1,1,100
CDK7,PIK3CA,1,100
CDK7,SMAD4,1,100
CDK7,STAT3,1,100
CDK9,ETS1,1,100
CDS1,Metab__cdpdag_hs_m_,1,100
CEACAM1,PROX1,1,100
CEBPA,SPI1,1,100
CIITA,RFXANK,1,100
CIITA,RFXAP,1,100
CMPK2,Cytidine-5'-DIphosphate_m_,1,100
CPT1A,Isovaleryl Carnitine_c_,1,50
CPT1A,O-Propanoylcarnitine_c_,1,50
CPT1C,Isovaleryl Carnitine_c_,1,50
CPT1C,O-Propanoylcarnitine_c_,1,50
CRAT,O-Propanoylcarnitine_m_,1,100
CRAT,O-Propanoylcarnitine_x_,1,100
CREB1,MITF,1,5
CREB1,TP53,1,5
CREB3,CREBBP,-1,28
CREBBP,ARNT,1,28
CREBBP,CPT1A,1,14
CREBBP,MITF,1,28
CREBBP,TP53,1,28
CRLS1,Cytidine 5'-Monophosphate_m_,1,1
CRY1,CLOCK,-1,100
CSK,MTA1,1,100
